None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
38.505419333 -121.413067167 63
38.505505667 -121.4130975 58
38.505603333 -121.4131345 65
38.505709333 -121.413170667 54
38.505823167 -121.41321 56
38.505930667 -121.413254833 82
38.506034 -121.413302167 58
38.506140167 -121.413349667 70
38.506257333 -121.413398333 59
38.506367333 -121.413441167 70
38.506466667 -121.413480833 65
38.506563833 -121.4135095 64
38.50662 -121.413530333 75
38.506671333 -121.4135465 56
38.506744667 -121.41356 65
38.506838167 -121.413563667 57
38.506943667 -121.413563333 57
38.507056833 -121.413559667 57
38.507178 -121.4135575 54
38.507302667 -121.413556167 62
38.507426167 -121.4135555 81
38.507546333 -121.4135585 54
38.507654 -121.413558667 69
38.507752167 -121.413559167 71
38.5078335 -121.4135585 56
38.5078885 -121.413556833 66
38.5079305 -121.413558 66
38.507990833 -121.4135575 73
38.508065833 -121.413558833 80
38.508152833 -121.41356 63
38.5082505 -121.413560333 64
38.508348 -121.4135605 51
38.5084395 -121.413559 71
38.508526167 -121.413555667 65
38.508597833 -121.413550167 56
38.508667333 -121.413541167 62
38.5087335 -121.413529 84
38.5088075 -121.413505333 68
38.508899 -121.413461333 47
38.508984333 -121.413401167 65
38.5090705 -121.413324167 70
38.509154 -121.413235167 59
38.509237 -121.413132667 69
38.5093135 -121.413020667 64
38.509382167 -121.412909167 88
38.509460167 -121.412795167 73
38.509528167 -121.412693 59
38.509606167 -121.412600667 59
38.509691667 -121.412523 66
38.509782167 -121.412463833 63
38.509873 -121.412413 49
38.509964 -121.412373167 80
38.510044833 -121.412347333 77
38.510122833 -121.412328167 54
38.510197 -121.412312167 49
38.510258 -121.412288333 78
38.510287 -121.412246167 67
38.510300333 -121.412184667 67
38.510317667 -121.412099333 81
38.510313667 -121.412015667 76
38.5103225 -121.411912833 83
38.510328833 -121.411784167 69
38.510332 -121.4116395 71
38.510335 -121.411480667 69
38.510338 -121.411316667 59
38.510340667 -121.4111485 73
38.510342167 -121.41098 57
38.510342333 -121.4108095 82
38.510340333 -121.410644667 66
38.5103325 -121.410479833 59
38.510328333 -121.410324833 56
38.510328333 -121.410189 63
38.5103325 -121.410067167 63
38.510339333 -121.409972833 61
38.510346 -121.409887667 86
38.510351 -121.409819333 71
38.5103545 -121.409760667 61
38.510356333 -121.409721667 65
38.510358 -121.4096975 67
38.5103585 -121.409682 69
38.510358833 -121.409677333 61
38.510358667 -121.409671833 61
38.510358167 -121.409666667 83
38.510358667 -121.409666 58
38.5103595 -121.409672 78
38.510360167 -121.409668667 65
38.510360333 -121.409666167 66
38.510359667 -121.409659167 62
38.5103605 -121.409654667 71
38.510361 -121.409649 65
38.510361167 -121.409645833 72
38.510360167 -121.4096435 70
38.510361667 -121.409636833 63
38.5103615 -121.4096355 60
38.510361333 -121.409634167 61
38.510361667 -121.409631667 67
38.510362167 -121.409629 74
38.510362333 -121.409626 52
38.510364333 -121.4096195 71
38.510364167 -121.409617333 72
38.510364833 -121.409613667 61
38.510365333 -121.409608333 79
38.510365833 -121.409605 68
38.510365333 -121.409602833 67
38.5103645 -121.409602167 54
38.51038 -121.409567333 54
38.510388167 -121.4095495 71
38.5103935 -121.409538667 74
38.510397167 -121.409531 64
38.510399833 -121.4095255 66
38.510402 -121.409521833 71
38.510404167 -121.409518833 58
38.510405833 -121.409515833 47
38.51041 -121.4095155 68
38.5104145 -121.409514 74
38.510418 -121.409513667 58
38.510421667 -121.409514167 70
38.510425333 -121.409514667 85
38.510428 -121.409514833 71
38.510429833 -121.409515167 57
38.510431667 -121.409515333 74
38.510433333 -121.409515667 78
